iter	RMSE
0	0.6071413362
1	0.5975433949
2	0.5853901163
3	0.5770255059
4	0.5680170645
5	0.5601954516
6	0.5535966428
7	0.5471852152
8	0.5398775663
9	0.5330811196
10	0.5271568603
11	0.5210517543
12	0.515036268
13	0.5090945684
14	0.5028591531
15	0.4981518404
16	0.4923566329
17	0.4874032259
18	0.4820121722
19	0.4780290465
20	0.4725344725
21	0.4657843315
22	0.4617525285
23	0.4566792254
24	0.4525358346
25	0.4501919292
26	0.4476912761
27	0.4450169005
28	0.4411305722
29	0.4379744288
30	0.4357432053
31	0.4336690925
32	0.4315664309
33	0.4278788076
34	0.4229318392
35	0.4211616775
36	0.4180258068
37	0.4154230788
38	0.410975142
39	0.4078376895
40	0.4062253926
41	0.4025196556
42	0.4008348581
43	0.3992146076
44	0.3974186926
45	0.3958058759
46	0.3940078357
47	0.3925393631
48	0.389843924
49	0.3874257493
50	0.3854911725
51	0.384098131
52	0.3823791672
53	0.3811949023
54	0.3785435219
55	0.375680821
56	0.3728829829
57	0.3711068336
58	0.3693731193
59	0.368201066
60	0.3669181775
61	0.3661045809
62	0.3641251
63	0.3611773687
64	0.3601460099
65	0.357165324
66	0.3560149179
67	0.3536944006
68	0.349322243
69	0.3441762902
70	0.3428567706
71	0.342038051
72	0.3404903896
73	0.3387300825
74	0.336558857
75	0.3353294417
76	0.3339879011
77	0.3308426742
78	0.3264111512
79	0.3256190535
80	0.3247163223
81	0.3234641553
82	0.3218846878
83	0.320695522
84	0.3193742556
85	0.3161666258
86	0.3140045686
87	0.3121736506
88	0.3097316375
89	0.3079393051
90	0.3065162784
91	0.3058631394
92	0.304194795
93	0.3031773393
94	0.3017556495
95	0.3004177619
96	0.2981796173
97	0.2965319546
98	0.2956670065
99	0.2946120501
100	0.2933813152
101	0.2926643752
102	0.2906417668
103	0.2885964776
104	0.2875921824
105	0.2870738788
106	0.2862091897
107	0.2852557692
108	0.2825765738
109	0.2806258918
110	0.2794579344
111	0.2772389828
112	0.2759629613
113	0.27445715
114	0.2728748193
115	0.2710059284
116	0.2702621413
117	0.2685273972
118	0.2653637879
119	0.264090955
120	0.2621015469
121	0.2597247511
122	0.2593734281
123	0.2575446026
124	0.2556529188
125	0.2547939248
126	0.2527610305
127	0.2517549622
128	0.2490532482
129	0.2468616011
130	0.2450596689
131	0.2429877294
132	0.2406148668
133	0.2389580133
134	0.237742373
135	0.2367150252
136	0.2337648117
137	0.2321214698
138	0.2314064842
139	0.2312467757
140	0.2304098227
141	0.2284264248
142	0.2275529934
143	0.2257645518
144	0.223930493
145	0.2212154121
146	0.2190053672
147	0.2173510798
148	0.2162492984
149	0.2153711807
